island,site,quadrat,grass,forbs,open,rock,shrub,dead,moss,other,dist_to_wall,avg_veg_height,comments
Naxos,SMONI,6,2,2,96,0,0,0,0,0,1.5,0.05,
Naxos,SMONI,7,5,10,85,0,0,0,0,0,2.5,0.1,
Naxos,SMONI,8,10,25,15,50,0,0,0,0,0.1,0.6,
Naxos,WMONI,1,35,45,3,0,2,0,15,0,3,0.05,Other=moss
Naxos,WMONI,2,40,55,3,0,0,0,2,0,2,0.1,Other=moss
Naxos,WMONI,3,40,45,10,0,0,5,0,0,2,0.3,Other=dead wood
Naxos,WMONI,4,5,45,25,10,0,15,0,0,2,0.2,Other=dead wood
Naxos,WMONI,5,5,15,65,5,0,0,10,0,3,0.05,Other=moss
Naxos,WMONI,6,5,15,10,60,10,0,0,0,4,0.15,
Naxos,WMONI,7,2,23,50,25,0,0,0,0,3,0.1,
Naxos,WMONI,8,2,2,50,43,0,0,3,0,0,0.02,Other=moss
Naxos,NALYKO,1,0,0,100,0,0,0,0,0,99999,0,
Naxos,NALYKO,2,0,5,55,0,40,0,0,0,99999,0.15,
Naxos,NALYKO,3,0,1,89,0,10,0,0,0,99999,0.05,
Naxos,NALYKO,4,0,0,100,0,0,0,0,0,99999,0,under canopy
Naxos,NALYKO,5,0,3,79,0,10,8,0,0,99999,0.1,Other=dead wood
Naxos,NALYKO,6,0,2,98,0,0,0,0,0,99999,0.03,
Naxos,NALYKO,7,0,15,65,0,20,0,0,0,99999,0.1,
Naxos,NALYKO,8,0,15,60,0,25,0,0,0,99999,0.2,
Naxos,MALYKO,1,0,15,85,0,0,0,0,0,99999,0.05,
Naxos,MALYKO,2,0,2,73,0,25,0,0,0,99999,0.15,
Naxos,MALYKO,3,0,0,75,0,25,0,0,0,99999,0.2,
Naxos,MALYKO,4,0,0,10,0,90,0,0,0,99999,0.3,
Naxos,MALYKO,5,0,0,100,0,0,0,0,0,99999,0,
Naxos,MALYKO,6,0,0,97,0,3,0,0,0,99999,0.05,
Naxos,MALYKO,7,0,0,0,0,90,0,0,10,99999,0.7,other=tree
Naxos,MALYKO,8,0,0,0,0,100,0,0,0,99999,0.4,
