island,site,date_coll,time_coll,date_set,time_set,crew,trap,pitfall_condition,sticky_condition,grass,forbs,open,rock,shrubs,dead,moss,other,dist_to_wall,avg_veg_height,comments
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,5,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,6,GOOD,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,7,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,8,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Artemios,ARTEMIOS,NA,NA,NA,NA,NA,9,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Aspronisi,ASPRO,25-05-14,9:00,20-05-14,15:30,ZM; KC,1,GOOD,NODATA,0,85,0,0,15,0,0,0,NA,0.35,NO STICKY DATA
Aspronisi,ASPRO,25-05-14,9:00,20-05-14,15:30,ZM; KC,2,GOOD,NODATA,0,85,0,15,0,0,0,0,NA,0.3,NO STICKY DATA
Aspronisi,ASPRO,25-05-14,9:00,20-05-14,15:30,ZM; KC,3,GOOD,NODATA,0,80,0,15,5,0,0,0,NA,0.35,NO STICKY DATA
Aspronisi,ASPRO,25-05-14,9:00,20-05-14,15:30,ZM; KC,4,FLAW,NODATA,70,20,10,0,0,0,0,0,NA,0.3,Pitfall removed by seagulls; NO STICKY DATA
Aspronisi,ASPRO,25-05-14,9:00,20-05-14,15:30,ZM; KC,5,GOOD,NODATA,0,95,5,0,0,0,0,0,NA,0.4,NO STICKY DATA
Aspronisi,ASPRO,25-05-14,9:00,20-05-14,15:30,ZM; KC,6,FLAW,NODATA,0,80,5,10,0,5,0,0,NA,0.4,Other=dead; no antifreeze in pitfall; NO STICKY DATA
Aspronisi,ASPRO,25-05-14,9:00,20-05-14,15:30,ZM; KC,7,GOOD,NODATA,5,95,0,0,0,0,0,0,NA,0.35,NO STICKY DATA
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,1,GOOD,GOOD,0,5,5,90,0,0,0,0,NA,0.2,Dead P.e. in trap
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,2,GOOD,GOOD,0,100,0,0,0,0,0,0,NA,0.3,
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,3,GOOD,GOOD,0,80,5,15,0,0,0,0,NA,0.35,
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,4,GOOD,GOOD,95,5,0,0,0,0,0,0,NA,0.25,
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,5,GOOD,GOOD,0,100,0,0,0,0,0,0,NA,0.3,
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,6,GOOD,GOOD,0,95,5,0,0,0,0,0,NA,0.3,
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,7,GOOD,GOOD,45,55,0,0,0,0,0,0,NA,0.3,
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,8,GOOD,GOOD,0,95,5,0,0,0,0,0,NA,0.35,
Aspronisi,ASPRONISI2,18-06-14,10:30,16-06-14,11:30,KC; ZM,9,GOOD,GOOD,85,5,10,0,0,0,0,0,NA,0.2,
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,1,GOOD,FLAW,3,0,62,0,5,30,0,0,NA,0.1,"Other=dead; sticky trap on bush ten meters away, covered in goat hair. Rock missing."
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,2,GOOD,GOOD,2,4,89,1,4,0,0,0,NA,0.1,
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,3,GOOD,GOOD,0,5,40,5,2,0,0,48,NA,0.4,
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,4,GOOD,GOOD,0,5,55,0,40,0,0,0,NA,0.3,other=dead;other=tree/bush canopy
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,5,GOOD,GOOD,3,0,67,0,15,0,0,15,NA,0.2,
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,6,GOOD,GOOD,0,0,88,2,10,0,0,0,NA,0.1,other=dead
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,7,GOOD,GOOD,0,5,30,5,60,0,0,0,NA,0.4,under tree/bush canopy (100%)
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,8,GOOD,GOOD,0,5,73,2,20,0,0,0,NA,0.25,under tree/bush canopy (15%)
Fidoussa,FIDOUSSA,15-06-14,13:15,13-06-14,12:00,ZM; AM,9,GOOD,GOOD,0,5,50,5,0,0,0,40,NA,0.35,
Galiat,GALIAT,NA,NA,NA,NA,NA,1,LOST,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,2,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,3,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,4,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,5,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,6,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,7,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,8,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Galiat,GALIAT,NA,NA,NA,NA,NA,9,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,1,GOOD,GOOD,0,0,50,0,50,0,0,0,12,0.35,
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,2,GOOD,GOOD,0,0,5,0,20,0,0,75,11,0.35,Podarcis in pitfall (dead)
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,3,GOOD,GOOD,0,0,60,0,40,0,0,0,10,0.35,
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,4,GOOD,GOOD,0,0,30,0,70,0,0,0,10,0.25,
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,5,GOOD,GOOD,0,0,60,0,35,5,0,0,30,0.2,other=dead
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,6,GOOD,GOOD,0,0,70,0,5,20,0,5,25,0.15,other=dead
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,7,GOOD,GOOD,0,0,30,0,50,20,0,0,45,0.15,other=dead
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,8,GOOD,GOOD,0,0,100,0,0,0,0,0,60,0,
Gramvoussa,GRAMVOUSSA,11-06-14,15:00,09-06-14,13:00,KC; AM,9,GOOD,GOOD,0,0,85,0,15,0,0,0,80,0.1,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,1,GOOD,GOOD,30,0,60,10,0,0,0,0,0.2,0.15,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,2,GOOD,GOOD,20,0,70,10,0,0,0,0,0.2,0.2,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,3,GOOD,GOOD,20,0,60,20,0,0,0,0,1,0.15,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,4,GOOD,GOOD,0,0,30,70,0,0,0,0,0.2,0,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,5,GOOD,GOOD,20,0,70,10,0,0,0,0,0.15,0.2,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,6,GOOD,GOOD,10,0,60,30,0,0,0,0,2,0,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,7,GOOD,GOOD,10,0,90,0,0,0,0,0,0,0.02,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,8,GOOD,GOOD,20,0,70,10,0,0,0,0,3,0.2,
Ios,IOS,05-06-14,11:15,04-06-14,8:30,KB,9,GOOD,GOOD,0,0,80,20,0,0,0,0,0.1,0,
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,1,GOOD,FLAW,0,0,90,0,10,0,0,0,15,0.15,sticky trap broken and on ground
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,2,GOOD,GOOD,0,3,15,0,7,75,0,0,2,0.1,other=dead grass
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,3,GOOD,GOOD,0,0,85,0,10,5,0,0,2,0.2,other=dead
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,4,GOOD,GOOD,0,3,70,0,5,22,0,0,3,0.1,other=dead grass
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,5,GOOD,GOOD,0,0,80,0,15,5,0,0,5,0.1,other=dead grass
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,6,GOOD,GOOD,0,0,30,40,30,0,0,0,15,0.3,
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,7,GOOD,GOOD,5,0,75,0,20,0,0,0,20,0.15,
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,8,GOOD,GOOD,0,0,70,0,5,15,0,10,20,0.2,other=dead (10%=dead grass)
Iraklia,IRAKLIA,16-06-14,7:00,14-06-14,11:30,KC,9,GOOD,GOOD,0,5,80,5,10,0,0,0,40,0.15,
Kali,KALI,NA,NA,NA,NA,NA,1,LOST,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,2,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,3,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,4,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,5,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,6,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,7,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,8,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kali,KALI,NA,NA,NA,NA,NA,9,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,1,LOST,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,2,GOOD,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,3,GOOD,FLAW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,4,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,5,GOOD,FLAW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,6,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,7,GOOD,FLAW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,8,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kambana,KAMBANA,NA,NA,NA,NA,NA,9,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,1,GOOD,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,2,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,3,LOST,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,4,LOST,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,5,LOST,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,6,GOOD,FLAW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,7,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,8,LOST,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kidoni,KIDONI,NA,NA,NA,NA,NA,9,LOST,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO METADATA
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,1,GOOD,GOOD,35,10,5,50,0,0,0,0,NA,0.15,
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,2,GOOD,GOOD,3,0,5,20,72,0,0,0,NA,0.1,
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,3,GOOD,GOOD,0,10,5,7,73,5,0,0,NA,0.2,other=dead
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,4,GOOD,GOOD,0,0,5,75,20,0,0,0,NA,0.2,
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,5,LOST,GOOD,0,30,0,50,15,5,0,0,NA,0.1,other=dead; no pitfall set
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,6,LOST,GOOD,0,0,0,35,55,10,0,0,NA,0.15,other=dead; no pitfall set
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,7,LOST,GOOD,0,80,5,5,10,0,0,0,NA,0.25,no pitfall set
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,8,LOST,GOOD,20,10,0,70,0,0,0,0,NA,0.1,no pitfall set
Kisiri,KISIRI,11-06-14,12:00,09-06-14,17:00,KC; AM,9,LOST,GOOD,40,10,0,50,0,0,0,0,NA,0.15,no pitfall set
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,1,GOOD,NODATA,0,50,50,0,0,0,0,0,25,0.05,NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,2,GOOD,NODATA,0,30,30,0,30,0,0,10,15,0.15,Live Podarcis in pitfall (released); NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,3,GOOD,NODATA,0,40,50,0,0,10,0,0,25,0.05,Other=dead; dead Podarcis in pitfall; NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,4,GOOD,NODATA,0,25,70,0,0,5,0,0,70,0.1,Other=dead; dead Podarcis in pitfall; NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,5,GOOD,NODATA,0,20,75,0,5,0,0,0,75,0.1,dead Podarcis in pitfall; NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,6,GOOD,NODATA,0,60,35,0,5,0,0,0,80,0.25,dead Podarcis in pitfall; no antifreeze in pitfall; NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,7,GOOD,NODATA,0,10,75,0,15,0,0,0,25,0.15,NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,8,GOOD,NODATA,0,2,30,0,0,68,0,0,30,0.05,Other=conifer needles; trap beneath canopy; NO STICKY DATA
Mando,MANDO,25-05-14,14:00,23-05-14,17:00,AM; ZM; KC,9,GOOD,NODATA,80,3,17,0,0,0,0,0,20,0.2,dead Podarcis in pitfall; NO STICKY DATA
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,1,GOOD,GOOD,3,30,67,0,0,0,0,0,20,0.2,
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,2,GOOD,GOOD,1,10,89,0,0,0,0,0,35,0.1,
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,3,GOOD,GOOD,7,60,33,0,0,0,0,0,50,0.2,
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,4,GOOD,GOOD,0,0,97,0,0,3,0,0,50,0,other=dead
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,5,GOOD,GOOD,30,30,40,0,0,0,0,0,65,0.15,
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,6,GOOD,GOOD,5,15,80,0,0,0,0,0,30,0.25,
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,7,GOOD,GOOD,1,19,25,0,0,55,0,0,35,0.3,other=pine needles
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,8,GOOD,GOOD,0,0,5,0,0,95,0,0,18,0.1,other=dead forb; dead grass; pine needles
Mando,MANDO2,18-06-14,10:00,16-06-14,10:00,AM,9,GOOD,GOOD,0,60,40,0,0,0,0,0,7,0.2,
Mavron,NMAVRON,NA,NA,NA,NA,NA,1,GOOD,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,NMAVRON,NA,NA,NA,NA,NA,2,NODATA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO PITFALL DATA
Mavron,NMAVRON,NA,NA,NA,NA,NA,3,NODATA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO PITFALL DATA
Mavron,NMAVRON,NA,NA,NA,NA,NA,4,NODATA,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO PITFALL DATA
Mavron,NMAVRON,NA,NA,NA,NA,NA,5,GOOD,LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,NMAVRON,NA,NA,NA,NA,NA,6,NODATA,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO PITFALL DATA
Mavron,NMAVRON,NA,NA,NA,NA,NA,7,NODATA,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO PITFALL DATA
Mavron,NMAVRON,NA,NA,NA,NA,NA,8,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,NMAVRON,NA,NA,NA,NA,NA,9,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,1,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,2,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,3,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,4,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,5,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,6,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,7,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,8,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mavron,SMAVRON,NA,NA,NA,NA,NA,9,GOOD,FLAW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",1,GOOD,GOOD,20,65,0,0,10,0,0,5,12,0.4,Rained on and off on the 19th
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",2,GOOD,GOOD,10,5,20,0,65,0,0,0,15,0.3,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",3,GOOD,GOOD,60,10,30,0,0,0,0,0,5,0.2,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",4,GOOD,GOOD,10,20,45,20,5,0,0,0,0,0.4,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",5,GOOD,GOOD,5,5,55,20,5,0,0,10,0,0.2,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",6,GOOD,GOOD,30,50,8,10,2,0,0,0,0,0.4,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",7,GOOD,GOOD,20,60,5,10,5,0,0,0,0,0.3,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",8,GOOD,GOOD,1,0,87,2,10,0,0,0,15,0.3,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",9,GOOD,GOOD,15,20,40,0,5,0,0,20,12,0.3,Uner Oak tree
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",10,GOOD,GOOD,5,40,15,0,40,0,0,0,18,0.3,
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",11,GOOD,FLAW,20,75,0,0,5,0,0,0,20,0.45,Sticky Trap fallen
Naxos,DEMAR,19-05-14,18:10,18-05-14,9:00,"KC, AM",12,GOOD,FLAW,85,10,0,0,5,0,0,0,7,0.25,Trampled; sticky trap 7 m from pitfall trap
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",1,GOOD,FLAW,2,1,97,0,0,0,0,0,8,0.1,"Beneath Tree Canopy, sticky trap tipped over"
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",2,GOOD,GOOD,1,3,71,0,20,0,0,5,0.5,0.3,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",3,GOOD,GOOD,0,35,35,0,30,0,0,0,0.5,0.4,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",4,GOOD,GOOD,5,30,63,0,2,0,0,0,0.5,0.25,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",5,GOOD,GOOD,0,20,20,5,55,0,0,0,0.1,0.6,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",6,GOOD,GOOD,0,35,25,5,35,0,0,0,0.1,0.4,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",7,GOOD,GOOD,5,15,80,0,0,0,0,0,3,0.05,Beneath tree canopy
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",8,GOOD,GOOD,0,1,99,0,0,0,0,0,3,0.01,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",9,GOOD,GOOD,0,0,100,0,0,0,0,0,4,0,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",10,GOOD,GOOD,2,35,38,15,10,0,0,0,0,0.4,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",11,GOOD,GOOD,2,20,23,15,40,0,0,0,0,0.35,
Naxos,EMONI,17-05-14,18:00,16-05-14,9:00,"KC, ZM",12,GOOD,GOOD,1,15,39,25,20,0,0,0,0,0.45,
Naxos,MALYKO,NA,NA,NA,NA,NA,1,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,2,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,3,GOOD,GOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
