sample,site,trap,sample_type,order,count
TP-RACHI-1,RACHI,1,pitfall,lepidoptera,1
TP-RACHI-2,RACHI,2,pitfall,coleoptera,1
TP-RACHI-2,RACHI,2,pitfall,hemiptera,9
TP-RACHI-2,RACHI,2,pitfall,hymenoptera,12
TP-RACHI-3,RACHI,3,pitfall,coleoptera,1
TP-RACHI-3,RACHI,3,pitfall,hymenoptera,10
TP-RACHI-4,RACHI,4,pitfall,hemiptera,2
TP-RACHI-5,RACHI,5,pitfall,hemiptera,4
TP-RACHI-5,RACHI,5,pitfall,hymenoptera,19
TP-RACHI-5,RACHI,5,pitfall,araneae,1
TP-RACHI-6,RACHI,6,pitfall,coleoptera,1
TP-RACHI-6,RACHI,6,pitfall,hymenoptera,5
TP-RACHI-6,RACHI,6,pitfall,orthoptera,1
TP-RACHI-6,RACHI,6,pitfall,araneae,1
TP-RACHI-7,RACHI,7,pitfall,coleoptera,2
TP-RACHI-7,RACHI,7,pitfall,hemiptera,1
TP-RACHI-7,RACHI,7,pitfall,hymenoptera,1
TP-RACHI-7,RACHI,7,pitfall,araneae,1
TP-RACHI-8,RACHI,8,pitfall,coleoptera,1
TP-RACHI-8,RACHI,8,pitfall,hemiptera,1
TP-RACHI-8,RACHI,8,pitfall,hymenoptera,6
TP-RACHI-8,RACHI,8,pitfall,araneae,2
TP-RACHI-9,RACHI,9,pitfall,coleoptera,2
TP-RACHI-9,RACHI,9,pitfall,hemiptera,1
TP-RACHI-9,RACHI,9,pitfall,hymenoptera,2
TP-RACHI-10,RACHI,10,pitfall,coleoptera,3
TP-RACHI-10,RACHI,10,pitfall,hymenoptera,19
TP-RACHI-10,RACHI,10,pitfall,araneae,2
TP-RACHI-11,RACHI,11,pitfall,coleoptera,2
TP-RACHI-11,RACHI,11,pitfall,hymenoptera,8
TP-RACHI-11,RACHI,11,pitfall,araneae,4
TP-RACHI-12,RACHI,12,pitfall,coleoptera,1
TP-RACHI-12,RACHI,12,pitfall,hymenoptera,2
TP-SAGRI-1,SAGRI,1,pitfall,coleoptera,2
TP-SAGRI-1,SAGRI,1,pitfall,hymenoptera,7
TP-SAGRI-2,SAGRI,2,pitfall,coleoptera,2
TP-SAGRI-2,SAGRI,2,pitfall,hemiptera,2
TP-SAGRI-2,SAGRI,2,pitfall,hymenoptera,16
TP-SAGRI-3,SAGRI,3,pitfall,coleoptera,3
TP-SAGRI-3,SAGRI,3,pitfall,hemiptera,1
TP-SAGRI-3,SAGRI,3,pitfall,hymenoptera,36
TP-SAGRI-3,SAGRI,3,pitfall,araneae,1
TP-SAGRI-4,SAGRI,4,pitfall,coleoptera,4
TP-SAGRI-4,SAGRI,4,pitfall,hymenoptera,3
TP-SAGRI-4,SAGRI,4,pitfall,araneae,1
TP-SAGRI-5,SAGRI,5,pitfall,coleoptera,4
TP-SAGRI-5,SAGRI,5,pitfall,hymenoptera,23
TP-SAGRI-5,SAGRI,5,pitfall,araneae,2
TP-SAGRI-6,SAGRI,6,pitfall,coleoptera,2
TP-SAGRI-6,SAGRI,6,pitfall,hymenoptera,30
TP-SAGRI-6,SAGRI,6,pitfall,orthoptera,1
TP-SAGRI-6,SAGRI,6,pitfall,araneae,4
TP-SAGRI-7,SAGRI,7,pitfall,hymenoptera,1
TP-SAGRI-7,SAGRI,7,pitfall,araneae,1
TP-SAGRI-8,SAGRI,8,pitfall,coleoptera,3
TP-SAGRI-8,SAGRI,8,pitfall,hemiptera,4
TP-SAGRI-8,SAGRI,8,pitfall,hymenoptera,22
TP-SAGRI-8,SAGRI,8,pitfall,araneae,2
TP-SAGRI-9,SAGRI,9,pitfall,coleoptera,5
TP-SAGRI-9,SAGRI,9,pitfall,hemiptera,2
TP-SAGRI-9,SAGRI,9,pitfall,hymenoptera,28
TP-SAGRI-9,SAGRI,9,pitfall,araneae,2
TP-SAGRI-10,SAGRI,10,pitfall,coleoptera,4
TP-SAGRI-10,SAGRI,10,pitfall,hemiptera,6
TP-SAGRI-10,SAGRI,10,pitfall,hymenoptera,3
TP-SAGRI-10,SAGRI,10,pitfall,araneae,3
TP-SAGRI-11,SAGRI,11,pitfall,coleoptera,1
TP-SAGRI-11,SAGRI,11,pitfall,hymenoptera,5
TP-SAGRI-11,SAGRI,11,pitfall,araneae,1
TP-SAGRI-12,SAGRI,12,pitfall,coleoptera,2
TP-SAGRI-12,SAGRI,12,pitfall,hemiptera,1
TP-SAGRI-12,SAGRI,12,pitfall,hymenoptera,68
TP-SMONI-1,SMONI,1,pitfall,coleoptera,1
TP-SMONI-1,SMONI,1,pitfall,hymenoptera,3
TP-SMONI-1,SMONI,1,pitfall,araneae,3
TP-SMONI-2,SMONI,2,pitfall,coleoptera,8
TP-SMONI-2,SMONI,2,pitfall,hemiptera,1
TP-SMONI-2,SMONI,2,pitfall,hymenoptera,2
TP-SMONI-2,SMONI,2,pitfall,araneae,1
TP-SMONI-3,SMONI,3,pitfall,coleoptera,2
TP-SMONI-3,SMONI,3,pitfall,hymenoptera,2
TP-SMONI-3,SMONI,3,pitfall,araneae,3
TP-SMONI-4,SMONI,4,pitfall,hemiptera,3
TP-SMONI-4,SMONI,4,pitfall,hymenoptera,7
TP-SMONI-5,SMONI,5,pitfall,coleoptera,2
TP-SMONI-5,SMONI,5,pitfall,hemiptera,1
TP-SMONI-5,SMONI,5,pitfall,hymenoptera,10
TP-SMONI-6,SMONI,6,pitfall,coleoptera,3
TP-SMONI-6,SMONI,6,pitfall,hymenoptera,8
TP-SMONI-7,SMONI,7,pitfall,coleoptera,5
TP-SMONI-7,SMONI,7,pitfall,hemiptera,2
TP-SMONI-7,SMONI,7,pitfall,hymenoptera,3
TP-SMONI-8,SMONI,8,pitfall,coleoptera,1
TP-SMONI-8,SMONI,8,pitfall,hemiptera,3
TP-SMONI-8,SMONI,8,pitfall,hymenoptera,5
TP-SMONI-9,SMONI,9,pitfall,coleoptera,1
TP-SMONI-9,SMONI,9,pitfall,hemiptera,4
TP-SMONI-9,SMONI,9,pitfall,hymenoptera,15
TP-SMONI-10,SMONI,10,pitfall,coleoptera,2
TP-SMONI-10,SMONI,10,pitfall,hemiptera,1
TP-SMONI-10,SMONI,10,pitfall,hymenoptera,4
TP-SMONI-11,SMONI,11,pitfall,coleoptera,6
TP-SMONI-11,SMONI,11,pitfall,hymenoptera,11
TP-SMONI-12,SMONI,12,pitfall,coleoptera,2
TP-SMONI-12,SMONI,12,pitfall,hemiptera,2
TP-SMONI-12,SMONI,12,pitfall,hymenoptera,5
TP-VIGLA-1,VIGLA,1,pitfall,coleoptera,2
TP-VIGLA-1,VIGLA,1,pitfall,hemiptera,4
TP-VIGLA-1,VIGLA,1,pitfall,hymenoptera,15
TP-VIGLA-2,VIGLA,2,pitfall,coleoptera,4
TP-VIGLA-2,VIGLA,2,pitfall,hemiptera,24
TP-VIGLA-2,VIGLA,2,pitfall,hymenoptera,7
TP-VIGLA-3,VIGLA,3,pitfall,hemiptera,2
TP-VIGLA-3,VIGLA,3,pitfall,hymenoptera,12
TP-VIGLA-4,VIGLA,4,pitfall,coleoptera,2
TP-VIGLA-4,VIGLA,4,pitfall,hymenoptera,25
TP-VIGLA-5,VIGLA,5,pitfall,coleoptera,1
TP-VIGLA-5,VIGLA,5,pitfall,hymenoptera,4
TP-VIGLA-6,VIGLA,6,pitfall,coleoptera,2
TP-VIGLA-6,VIGLA,6,pitfall,hemiptera,3
TP-VIGLA-6,VIGLA,6,pitfall,hymenoptera,13
TP-VIGLA-6,VIGLA,6,pitfall,orthoptera,1
TP-VIGLA-6,VIGLA,6,pitfall,araneae,1
TP-VIGLA-7,VIGLA,7,pitfall,coleoptera,7
TP-VIGLA-7,VIGLA,7,pitfall,hemiptera,1
TP-VIGLA-7,VIGLA,7,pitfall,hymenoptera,24
TP-VIGLA-8,VIGLA,8,pitfall,coleoptera,5
TP-VIGLA-8,VIGLA,8,pitfall,hymenoptera,28
TP-VIGLA-9,VIGLA,9,pitfall,coleoptera,5
TP-VIGLA-9,VIGLA,9,pitfall,hymenoptera,3
TP-VIGLA-9,VIGLA,9,pitfall,araneae,1
TP-VIGLA-10,VIGLA,10,pitfall,hemiptera,1
TP-VIGLA-10,VIGLA,10,pitfall,hymenoptera,186
TP-VIGLA-11,VIGLA,11,pitfall,coleoptera,3
TP-VIGLA-11,VIGLA,11,pitfall,hymenoptera,12
TP-VIGLA-11,VIGLA,11,pitfall,araneae,1
TP-VIGLA-12,VIGLA,12,pitfall,coleoptera,1
TP-VIGLA-12,VIGLA,12,pitfall,hymenoptera,13
TP-VIGLA-12,VIGLA,12,pitfall,araneae,2
TP-WMONI-1,WMONI,1,pitfall,coleoptera,12
TP-WMONI-1,WMONI,1,pitfall,hemiptera,3
TP-WMONI-1,WMONI,1,pitfall,hymenoptera,20
TP-WMONI-2,WMONI,2,pitfall,coleoptera,8
TP-WMONI-2,WMONI,2,pitfall,hemiptera,2
TP-WMONI-2,WMONI,2,pitfall,hymenoptera,16
TP-WMONI-2,WMONI,2,pitfall,araneae,2
TP-WMONI-3,WMONI,3,pitfall,coleoptera,2
TP-WMONI-3,WMONI,3,pitfall,hymenoptera,15
TP-WMONI-4,WMONI,4,pitfall,coleoptera,3
TP-WMONI-4,WMONI,4,pitfall,hemiptera,2
TP-WMONI-4,WMONI,4,pitfall,hymenoptera,3
TP-WMONI-5,WMONI,5,pitfall,coleoptera,1
TP-WMONI-5,WMONI,5,pitfall,hymenoptera,6
TP-WMONI-5,WMONI,5,pitfall,araneae,1
TP-WMONI-6,WMONI,6,pitfall,coleoptera,4
TP-WMONI-6,WMONI,6,pitfall,hymenoptera,10
TP-WMONI-7,WMONI,7,pitfall,coleoptera,5
TP-WMONI-7,WMONI,7,pitfall,hymenoptera,20
TP-WMONI-7,WMONI,7,pitfall,araneae,1
TP-WMONI-8,WMONI,8,pitfall,coleoptera,3
TP-WMONI-8,WMONI,8,pitfall,hemiptera,1
TP-WMONI-8,WMONI,8,pitfall,hymenoptera,3
TP-WMONI-9,WMONI,9,pitfall,coleoptera,1
TP-WMONI-9,WMONI,9,pitfall,hymenoptera,3
TP-WMONI-10,WMONI,10,pitfall,coleoptera,2
TP-WMONI-10,WMONI,10,pitfall,hymenoptera,26
TP-WMONI-10,WMONI,10,pitfall,araneae,2
TP-WMONI-11,WMONI,11,pitfall,coleoptera,3
TP-WMONI-11,WMONI,11,pitfall,hymenoptera,11
TP-WMONI-11,WMONI,11,pitfall,araneae,1
TP-WMONI-12,WMONI,12,pitfall,coleoptera,2
TP-WMONI-12,WMONI,12,pitfall,hemiptera,1
TP-WMONI-12,WMONI,12,pitfall,hymenoptera,7
TS-DEMAR-1,DEMAR,1,sticky,hymenoptera,1
TS-DEMAR-2,DEMAR,2,sticky,hemiptera,1
TS-DEMAR-3,DEMAR,3,sticky,coleoptera,1
TS-DEMAR-4,DEMAR,4,sticky,coleoptera,1
TS-DEMAR-4,DEMAR,4,sticky,araneae,1
TS-DEMAR-6,DEMAR,6,sticky,hemiptera,1
TS-DEMAR-6,DEMAR,6,sticky,hymenoptera,2
TS-DEMAR-7,DEMAR,7,sticky,hemiptera,7
TS-DEMAR-8,DEMAR,8,sticky,araneae,1
TS-DEMAR-9,DEMAR,9,sticky,hemiptera,7
TS-DEMAR-9,DEMAR,9,sticky,hymenoptera,1
TS-DEMAR-10,DEMAR,10,sticky,coleoptera,1
TS-DEMAR-11,DEMAR,11,sticky,coleoptera,1
TS-DEMAR-12,DEMAR,12,sticky,coleoptera,1
TS-DEMAR-12,DEMAR,12,sticky,hymenoptera,1
TS-EMONI-1,EMONI,1,sticky,coleoptera,1
TS-EMONI-1,EMONI,1,sticky,gastropoda,1
TS-EMONI-2,EMONI,2,sticky,coleoptera,1
TS-EMONI-4,EMONI,4,sticky,hemiptera,1
TS-EMONI-4,EMONI,4,sticky,hymenoptera,1
TS-EMONI-4,EMONI,4,sticky,orthoptera,1
TS-EMONI-5,EMONI,5,sticky,hymenoptera,3
TS-EMONI-7,EMONI,7,sticky,coleoptera,1
TS-EMONI-8,EMONI,8,sticky,coleoptera,1
TS-EMONI-8,EMONI,8,sticky,hemiptera,2
TS-EMONI-9,EMONI,9,sticky,coleoptera,1
TS-EMONI-9,EMONI,9,sticky,hymenoptera,1
TS-EMONI-12,EMONI,12,sticky,hymenoptera,1
TS-MALYKO-3,MALYKO,3,sticky,coleoptera,1
TS-MALYKO-3,MALYKO,3,sticky,hymenoptera,3
TS-MALYKO-4,MALYKO,4,sticky,coleoptera,1
TS-MALYKO-4,MALYKO,4,sticky,hemiptera,1
TS-MALYKO-4,MALYKO,4,sticky,araneae,1
TS-MALYKO-5,MALYKO,5,sticky,coleoptera,2
TS-MALYKO-5,MALYKO,5,sticky,hemiptera,1
TS-MALYKO-5,MALYKO,5,sticky,hymenoptera,10
TS-MALYKO-6,MALYKO,6,sticky,hemiptera,1
TS-MALYKO-7,MALYKO,7,sticky,hemiptera,3
TS-MALYKO-7,MALYKO,7,sticky,hymenoptera,2
TS-MALYKO-9,MALYKO,9,sticky,coleoptera,1
TS-MALYKO-9,MALYKO,9,sticky,hemiptera,4
TS-MALYKO-9,MALYKO,9,sticky,hymenoptera,12
TS-MALYKO-9,MALYKO,9,sticky,lepidoptera,1
TS-MALYKO-10,MALYKO,10,sticky,coleoptera,2
TS-MALYKO-10,MALYKO,10,sticky,hemiptera,2
TS-MALYKO-10,MALYKO,10,sticky,hymenoptera,3
TS-MALYKO-11,MALYKO,11,sticky,coleoptera,1
TS-MALYKO-11,MALYKO,11,sticky,hemiptera,4
TS-MALYKO-12,MALYKO,12,sticky,coleoptera,1
TS-MALYKO-12,MALYKO,12,sticky,hemiptera,8
TS-NALYKO-1,NALYKO,1,sticky,araneae,1
TS-NALYKO-4,NALYKO,4,sticky,hemiptera,1
TS-NALYKO-5,NALYKO,5,sticky,hemiptera,1
TS-NALYKO-5,NALYKO,5,sticky,hymenoptera,1
TS-NALYKO-7,NALYKO,7,sticky,hemiptera,2
TS-NALYKO-9,NALYKO,9,sticky,hemiptera,1
TS-NALYKO-10,NALYKO,10,sticky,coleoptera,1
TS-NALYKO-10,NALYKO,10,sticky,hemiptera,1
TS-NALYKO-12,NALYKO,12,sticky,hymenoptera,2
TS-RACHI-2,RACHI,2,sticky,hemiptera,2
TS-RACHI-2,RACHI,2,sticky,orthoptera,1
TS-RACHI-3,RACHI,3,sticky,hymenoptera,1
TS-RACHI-4,RACHI,4,sticky,hemiptera,1
TS-RACHI-5,RACHI,5,sticky,araneae,1
TS-RACHI-8,RACHI,8,sticky,lepidoptera,1
TS-RACHI-9,RACHI,9,sticky,hymenoptera,1
TS-RACHI-9,RACHI,9,sticky,araneae,1
TS-RACHI-10,RACHI,10,sticky,coleoptera,2
TS-RACHI-10,RACHI,10,sticky,hemiptera,2
TS-RACHI-11,RACHI,11,sticky,hymenoptera,3
TS-RACHI-11,RACHI,11,sticky,orthoptera,1
TS-RACHI-12,RACHI,12,sticky,hemiptera,1
TS-RACHI-12,RACHI,12,sticky,hymenoptera,2
TS-RACHI-12,RACHI,12,sticky,lepidoptera,1
TS-SAGRI-1,SAGRI,1,sticky,hemiptera,1
TS-SAGRI-1,SAGRI,1,sticky,hymenoptera,1
TS-SAGRI-1,SAGRI,1,sticky,orthoptera,1
TS-SAGRI-3,SAGRI,3,sticky,araneae,1
TS-SAGRI-4,SAGRI,4,sticky,coleoptera,1
TS-SAGRI-4,SAGRI,4,sticky,hemiptera,1
TS-SAGRI-6,SAGRI,6,sticky,coleoptera,1
TS-SAGRI-7,SAGRI,7,sticky,hemiptera,1
TS-SAGRI-7,SAGRI,7,sticky,orthoptera,1
TS-SAGRI-8,SAGRI,8,sticky,coleoptera,1
TS-SAGRI-8,SAGRI,8,sticky,hemiptera,1
TS-SAGRI-8,SAGRI,8,sticky,hymenoptera,1
TS-SAGRI-9,SAGRI,9,sticky,coleoptera,1
TS-SAGRI-9,SAGRI,9,sticky,hemiptera,1
TS-SAGRI-9,SAGRI,9,sticky,hymenoptera,3
TS-SAGRI-10,SAGRI,10,sticky,hymenoptera,1
TS-SAGRI-11,SAGRI,11,sticky,hymenoptera,2
TS-SMONI-1,SMONI,1,sticky,hemiptera,3
TS-SMONI-2,SMONI,2,sticky,hymenoptera,1
TS-SMONI-3,SMONI,3,sticky,coleoptera,4
TS-SMONI-3,SMONI,3,sticky,hemiptera,1
TS-SMONI-4,SMONI,4,sticky,hymenoptera,1
TS-SMONI-5,SMONI,5,sticky,coleoptera,1
TS-SMONI-5,SMONI,5,sticky,araneae,1
TS-SMONI-6,SMONI,6,sticky,hemiptera,2
TS-SMONI-6,SMONI,6,sticky,hymenoptera,4
TS-SMONI-7,SMONI,7,sticky,coleoptera,1
TS-SMONI-7,SMONI,7,sticky,hemiptera,7
TS-SMONI-7,SMONI,7,sticky,hymenoptera,1
TS-SMONI-8,SMONI,8,sticky,hemiptera,3
TS-SMONI-8,SMONI,8,sticky,hymenoptera,1
TS-SMONI-9,SMONI,9,sticky,hemiptera,10
TS-SMONI-9,SMONI,9,sticky,hymenoptera,1
TS-SMONI-10,SMONI,10,sticky,coleoptera,1
TS-SMONI-10,SMONI,10,sticky,hemiptera,6
TS-SMONI-10,SMONI,10,sticky,hymenoptera,3
TS-SMONI-11,SMONI,11,sticky,coleoptera,1
TS-SMONI-11,SMONI,11,sticky,hemiptera,2
TS-SMONI-12,SMONI,12,sticky,hemiptera,4
TS-VIGLA-1,VIGLA,1,sticky,hymenoptera,3
TS-VIGLA-2,VIGLA,2,sticky,coleoptera,1
TS-VIGLA-2,VIGLA,2,sticky,hymenoptera,1
TS-VIGLA-3,VIGLA,3,sticky,coleoptera,2
TS-VIGLA-4,VIGLA,4,sticky,hemiptera,1
TS-VIGLA-4,VIGLA,4,sticky,hymenoptera,1
TS-VIGLA-4,VIGLA,4,sticky,orthoptera,1
TS-VIGLA-5,VIGLA,5,sticky,coleoptera,4
TS-VIGLA-6,VIGLA,6,sticky,coleoptera,1
TS-VIGLA-6,VIGLA,6,sticky,hemiptera,2
TS-VIGLA-6,VIGLA,6,sticky,hymenoptera,2
TS-VIGLA-7,VIGLA,7,sticky,coleoptera,1
TS-VIGLA-8,VIGLA,8,sticky,coleoptera,2
TS-VIGLA-9,VIGLA,9,sticky,hemiptera,2
TS-VIGLA-9,VIGLA,9,sticky,hymenoptera,2
TS-VIGLA-9,VIGLA,9,sticky,araneae,1
TS-VIGLA-10,VIGLA,10,sticky,coleoptera,2
TS-VIGLA-10,VIGLA,10,sticky,hemiptera,2
TS-VIGLA-10,VIGLA,10,sticky,hymenoptera,2
TS-VIGLA-11,VIGLA,11,sticky,hemiptera,2
TS-VIGLA-11,VIGLA,11,sticky,hymenoptera,2
TS-VIGLA-11,VIGLA,11,sticky,araneae,1
TS-VIGLA-12,VIGLA,12,sticky,araneae,1
TS-WMONI-2,WMONI,2,sticky,coleoptera,2
TS-WMONI-2,WMONI,2,sticky,hemiptera,3
TS-WMONI-2,WMONI,2,sticky,hymenoptera,4
TS-WMONI-3,WMONI,3,sticky,coleoptera,1
TS-WMONI-3,WMONI,3,sticky,hemiptera,1
TS-WMONI-4,WMONI,4,sticky,coleoptera,3
TS-WMONI-4,WMONI,4,sticky,hemiptera,1
TS-WMONI-5,WMONI,5,sticky,coleoptera,5
TS-WMONI-6,WMONI,6,sticky,coleoptera,1
TS-WMONI-6,WMONI,6,sticky,hemiptera,2
TS-WMONI-7,WMONI,7,sticky,coleoptera,2
TS-WMONI-7,WMONI,7,sticky,hymenoptera,2
TS-WMONI-7,WMONI,7,sticky,araneae,1
TS-WMONI-8,WMONI,8,sticky,coleoptera,4
TS-WMONI-8,WMONI,8,sticky,hymenoptera,2
TS-WMONI-8,WMONI,8,sticky,araneae,1
TS-WMONI-9,WMONI,9,sticky,coleoptera,1
TS-WMONI-10,WMONI,10,sticky,coleoptera,1
TS-WMONI-10,WMONI,10,sticky,hymenoptera,4
TS-WMONI-10,WMONI,10,sticky,araneae,1
TS-WMONI-11,WMONI,11,sticky,coleoptera,4
TS-WMONI-11,WMONI,11,sticky,hymenoptera,5
TS-WMONI-11,WMONI,11,sticky,araneae,1
TS-WMONI-12,WMONI,12,sticky,hemiptera,7
