island,site,date_coll,time_coll,date_set,time_set,crew,trap,grass,forbs,open,rock,shrubs,dead,moss,other,dist_to_wall,avg_veg_height,comments
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",3,0,15,60,0,25,0,0,0,45,0.25,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",4,0,5,78,2,15,0,0,0,45,0.2,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",5,2,25,68,0,5,0,0,0,20,0.2,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",6,0,15,60,0,25,0,0,0,60,0.3,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",7,0,5,70,0,0,25,0,0,15,0.2,Other=dead
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",8,3,5,47,0,45,0,0,0,30,0.3,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",9,0,1,5,0,94,0,0,0,65,0.25,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",10,0,15,10,0,75,0,0,0,15,0.3,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",11,5,5,60,0,30,0,0,0,30,0.35,NA
Naxos,RACHI,21-05-14,19:00:00,20-05-14,09:00:00,"KC, ZM",12,1,7,72,0,20,0,0,0,60,0.2,P. erhardii in pitfall trap
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",1,2,15,68,0,15,0,0,0,3,0.2,P. erhardii in pitfall trap
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",2,5,10,55,0,30,0,0,0,4,0.2,NA
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",3,25,15,15,0,10,0,35,0,4,0.15,Other=moss
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",4,2,25,40,0,20,0,13,0,0.5,0.25,Other=moss
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",5,1,20,39,0,35,0,5,0,1,0.5,Other=moss
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",6,2,2,56,0,40,0,0,0,1,0.25,NA
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",7,0,20,5,25,50,0,0,0,0.25,0.4,NA
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",8,15,5,63,15,2,0,0,0,0.5,0.25,NA
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",9,50,15,30,0,5,0,0,0,0.5,0.1,Other=dead
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",10,5,5,55,0,35,0,0,0,15,0.15,Other=moss
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",11,5,25,5,0,0,0,0,65,15,0.2,NA
Naxos,SAGRI,22-05-14,19:10:00,21-05-14,09:00:00,"ZM, AM",12,1,10,0,0,30,0,0,59,10,0.2,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,1,2,3,65,30,0,0,0,0,0,0.2,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,2,3,2,75,10,0,0,10,0,0,0.2,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,3,2,1,97,0,0,0,0,0,1.5,0.1,under olive tree
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,4,2,8,50,40,0,0,0,0,0,0.25,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,5,15,25,40,15,0,0,0,5,0,0.3,under small fig tree
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,6,10,5,85,0,0,0,0,0,3.5,0.25,live Podarcis in trap; released
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,7,2,3,65,30,0,0,0,0,0,0.25,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,8,10,30,25,35,0,0,0,0,0,0.35,barely alive Podarcis in trap; died soon thereafter
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,9,3,2,50,45,0,0,0,0,0,0.3,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,10,3,32,60,0,0,5,0,0,2,0.15,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,11,5,0,65,0,30,0,0,0,0,0.4,NA
Naxos,SMONI,23-05-14,19:40:00,22-05-14,09:00:00,AM,12,30,10,60,0,0,0,0,0,2,0.4,NA
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,1,30,20,50,0,0,0,0,0,5,0.1,No rock on pitfall; under olive tree
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,2,40,20,40,0,0,0,0,0,4,0.05,Sticky Trap fallen
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,3,5,5,60,30,0,0,0,0,0,0.05,NA
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,4,1,5,79,15,0,0,0,0,0,0.1,NA
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,5,2,5,88,5,0,0,0,0,0,0.1,Antifreeze dried up?
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,6,10,5,60,5,0,0,20,0,0,0.1,other=moss; dead Podarcis
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,7,20,40,40,0,0,0,0,0,3,0.1,Sticky Trap fallen
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,8,40,20,40,0,0,0,0,0,2.5,0.15,Sticky Trap fallen; under olive tree
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,9,1,10,79,10,0,0,0,0,0,0.05,NA
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,10,5,5,75,15,0,0,0,0,0,0.05,sticky trap fallen; rock moved to completely cover pitfall
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,11,1,5,89,0,0,5,0,0,0,0.1,other=dead; sticky trap fallen
Naxos,WMONI,24-05-14,19:30:00,23-05-14,09:00:00,KC,12,2,5,83,5,0,0,5,0,0,0.4,other=moss; sticky trap found 2m from original location; rock on pitfall moved; dead Podarcis in pitfall
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,1,0,1,59,0,0,0,0,40,NA,1,other=tree
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,2,0,0,80,0,20,0,0,0,NA,0.1,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,3,0,0,95,0,5,0,0,0,NA,0.1,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,4,0,0,100,0,0,0,0,0,NA,0,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,5,0,0,100,0,0,0,0,0,NA,0,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,6,0,0,99,0,0,0,0,1,NA,0.06,other=tree
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,7,0,0,60,0,40,0,0,0,NA,0.06,live Mediodactylus in trap (released)
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,8,0,0,45,0,55,0,0,0,NA,0.2,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,9,0,0,45,0,55,0,0,0,NA,0.05,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,10,0,0,75,0,25,0,0,0,NA,0.04,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,11,0,0,10,0,90,0,0,0,NA,0.05,NA
Naxos,NALYKO,02-06-14,18:15:00,01-06-14,09:00:00,AM; KB,12,0,0,100,0,0,0,0,0,NA,0,NA
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
Naxos,MALYKO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No veg survey conducted
