sample,site,trap,trap_type,order,count
NALYKO-P7,NALYKO,7,pitfall,coleoptera,9
NALYKO-P7,NALYKO,7,pitfall,hemiptera,1
NALYKO-P7,NALYKO,7,pitfall,hymenoptera,17
NALYKO-P7,NALYKO,7,pitfall,thysanura,1
NALYKO-P8,NALYKO,8,pitfall,coleoptera,4
NALYKO-P8,NALYKO,8,pitfall,hymenoptera,7
NALYKO-P8,NALYKO,8,pitfall,thysanura,1
NALYKO-P8,NALYKO,8,pitfall,acari,1
NALYKO-P9,NALYKO,9,pitfall,coleoptera,1
NALYKO-P9,NALYKO,9,pitfall,diptera,1
NALYKO-P9,NALYKO,9,pitfall,hemiptera,1
NALYKO-P9,NALYKO,9,pitfall,hymenoptera,11
NALYKO-P10,NALYKO,10,pitfall,coleoptera,6
NALYKO-P10,NALYKO,10,pitfall,hymenoptera,6
NALYKO-P11,NALYKO,11,pitfall,hemiptera,1
NALYKO-P11,NALYKO,11,pitfall,hymenoptera,9
NALYKO-P12,NALYKO,12,pitfall,coleoptera,22
NALYKO-P12,NALYKO,12,pitfall,hymenoptera,33
NALYKO-P12,NALYKO,12,pitfall,coleoptera_larvae,1
RACHI-P1,RACHI,1,pitfall,coleoptera,13
RACHI-P1,RACHI,1,pitfall,hemiptera,1
RACHI-P1,RACHI,1,pitfall,hymenoptera,7
RACHI-P1,RACHI,1,pitfall,lepidoptera,1
RACHI-P1,RACHI,1,pitfall,collembola,1
RACHI-P1,RACHI,1,pitfall,isoptera,1
RACHI-P1,RACHI,1,pitfall,acari,1
RACHI-P2,RACHI,2,pitfall,coleoptera,1
RACHI-P2,RACHI,2,pitfall,hemiptera,9
RACHI-P2,RACHI,2,pitfall,hymenoptera,12
RACHI-P2,RACHI,2,pitfall,acari,1
RACHI-P3,RACHI,3,pitfall,coleoptera,1
RACHI-P3,RACHI,3,pitfall,hymenoptera,10
RACHI-P3,RACHI,3,pitfall,acari,1
RACHI-P4,RACHI,4,pitfall,diptera,2
RACHI-P4,RACHI,4,pitfall,hemiptera,2
RACHI-P4,RACHI,4,pitfall,acari,1
RACHI-P5,RACHI,5,pitfall,diptera,1
RACHI-P5,RACHI,5,pitfall,hemiptera,4
RACHI-P5,RACHI,5,pitfall,hymenoptera,19
RACHI-P5,RACHI,5,pitfall,araneae,1
RACHI-P6,RACHI,6,pitfall,coleoptera,1
RACHI-P6,RACHI,6,pitfall,hymenoptera,5
RACHI-P6,RACHI,6,pitfall,orthoptera,1
RACHI-P6,RACHI,6,pitfall,araneae,1
RACHI-P7,RACHI,7,pitfall,coleoptera,2
RACHI-P7,RACHI,7,pitfall,diptera,1
RACHI-P7,RACHI,7,pitfall,hemiptera,1
RACHI-P7,RACHI,7,pitfall,hymenoptera,1
RACHI-P7,RACHI,7,pitfall,thysanura,2
RACHI-P7,RACHI,7,pitfall,araneae,1
RACHI-P8,RACHI,8,pitfall,coleoptera,1
RACHI-P8,RACHI,8,pitfall,hemiptera,1
RACHI-P8,RACHI,8,pitfall,hymenoptera,6
RACHI-P8,RACHI,8,pitfall,araneae,2
RACHI-P9,RACHI,9,pitfall,coleoptera,2
RACHI-P9,RACHI,9,pitfall,hemiptera,1
RACHI-P9,RACHI,9,pitfall,hymenoptera,2
RACHI-P9,RACHI,9,pitfall,thysanura,1
RACHI-P9,RACHI,9,pitfall,lepidoptera_larvae,1
RACHI-P10,RACHI,10,pitfall,coleoptera,3
RACHI-P10,RACHI,10,pitfall,hymenoptera,19
RACHI-P10,RACHI,10,pitfall,thysanura,1
RACHI-P10,RACHI,10,pitfall,acari,3
RACHI-P10,RACHI,10,pitfall,araneae,2
RACHI-P11,RACHI,11,pitfall,coleoptera,2
RACHI-P11,RACHI,11,pitfall,hymenoptera,8
RACHI-P11,RACHI,11,pitfall,araneae,4
RACHI-P12,RACHI,12,pitfall,coleoptera,1
RACHI-P12,RACHI,12,pitfall,hymenoptera,2
SAGRI-P1,SAGRI,1,pitfall,coleoptera,2
SAGRI-P1,SAGRI,1,pitfall,diptera,1
SAGRI-P1,SAGRI,1,pitfall,hymenoptera,7
SAGRI-P1,SAGRI,1,pitfall,thysanura,1
SAGRI-P1,SAGRI,1,pitfall,acari,2
SAGRI-P1,SAGRI,1,pitfall,pseudoscorpiones,1
SAGRI-P2,SAGRI,2,pitfall,coleoptera,2
SAGRI-P2,SAGRI,2,pitfall,hemiptera,2
SAGRI-P2,SAGRI,2,pitfall,hymenoptera,16
SAGRI-P2,SAGRI,2,pitfall,acari,9
SAGRI-P3,SAGRI,3,pitfall,coleoptera,3
SAGRI-P3,SAGRI,3,pitfall,hemiptera,1
SAGRI-P3,SAGRI,3,pitfall,hymenoptera,36
SAGRI-P3,SAGRI,3,pitfall,acari,1
SAGRI-P3,SAGRI,3,pitfall,araneae,1
SAGRI-P3,SAGRI,3,pitfall,isopoda,1
SAGRI-P3,SAGRI,3,pitfall,opilliones,1
SAGRI-P4,SAGRI,4,pitfall,coleoptera,4
SAGRI-P4,SAGRI,4,pitfall,hymenoptera,3
SAGRI-P4,SAGRI,4,pitfall,thysanura,1
SAGRI-P4,SAGRI,4,pitfall,acari,7
SAGRI-P4,SAGRI,4,pitfall,araneae,1
SAGRI-P5,SAGRI,5,pitfall,coleoptera,4
SAGRI-P5,SAGRI,5,pitfall,hymenoptera,23
SAGRI-P5,SAGRI,5,pitfall,thysanura,5
SAGRI-P5,SAGRI,5,pitfall,coleoptera_larvae,1
SAGRI-P5,SAGRI,5,pitfall,acari,6
SAGRI-P5,SAGRI,5,pitfall,araneae,2
SAGRI-P5,SAGRI,5,pitfall,isopoda,2
SAGRI-P6,SAGRI,6,pitfall,coleoptera,2
SAGRI-P6,SAGRI,6,pitfall,diptera,1
SAGRI-P6,SAGRI,6,pitfall,hymenoptera,30
SAGRI-P6,SAGRI,6,pitfall,orthoptera,1
SAGRI-P6,SAGRI,6,pitfall,acari,3
SAGRI-P6,SAGRI,6,pitfall,araneae,4
SAGRI-P6,SAGRI,6,pitfall,isopoda,1
SAGRI-P7,SAGRI,7,pitfall,hymenoptera,1
SAGRI-P7,SAGRI,7,pitfall,thysanura,1
SAGRI-P7,SAGRI,7,pitfall,araneae,1
SAGRI-P7,SAGRI,7,pitfall,opilliones,2
SAGRI-P8,SAGRI,8,pitfall,coleoptera,3
SAGRI-P8,SAGRI,8,pitfall,hemiptera,4
SAGRI-P8,SAGRI,8,pitfall,hymenoptera,22
SAGRI-P8,SAGRI,8,pitfall,acari,1
SAGRI-P8,SAGRI,8,pitfall,araneae,2
SAGRI-P8,SAGRI,8,pitfall,isopoda,2
SAGRI-P9,SAGRI,9,pitfall,coleoptera,5
SAGRI-P9,SAGRI,9,pitfall,hemiptera,2
SAGRI-P9,SAGRI,9,pitfall,hymenoptera,28
SAGRI-P9,SAGRI,9,pitfall,acari,1
SAGRI-P9,SAGRI,9,pitfall,araneae,2
SAGRI-P10,SAGRI,10,pitfall,coleoptera,4
SAGRI-P10,SAGRI,10,pitfall,hemiptera,6
SAGRI-P10,SAGRI,10,pitfall,hymenoptera,3
SAGRI-P10,SAGRI,10,pitfall,acari,2
SAGRI-P10,SAGRI,10,pitfall,araneae,3
SAGRI-P11,SAGRI,11,pitfall,coleoptera,1
SAGRI-P11,SAGRI,11,pitfall,hymenoptera,5
SAGRI-P11,SAGRI,11,pitfall,acari,1
SAGRI-P11,SAGRI,11,pitfall,araneae,1
SAGRI-P12,SAGRI,12,pitfall,coleoptera,2
SAGRI-P12,SAGRI,12,pitfall,hemiptera,1
SAGRI-P12,SAGRI,12,pitfall,hymenoptera,68
SAGRI-P12,SAGRI,12,pitfall,acari,1
SMONI-P1,SMONI,1,pitfall,coleoptera,1
SMONI-P1,SMONI,1,pitfall,diptera,1
SMONI-P1,SMONI,1,pitfall,hymenoptera,3
SMONI-P1,SMONI,1,pitfall,acari,1
SMONI-P1,SMONI,1,pitfall,araneae,3
SMONI-P2,SMONI,2,pitfall,coleoptera,8
SMONI-P2,SMONI,2,pitfall,diptera,1
SMONI-P2,SMONI,2,pitfall,hemiptera,1
SMONI-P2,SMONI,2,pitfall,hymenoptera,2
SMONI-P2,SMONI,2,pitfall,acari,11
SMONI-P2,SMONI,2,pitfall,araneae,1
SMONI-P3,SMONI,3,pitfall,coleoptera,2
SMONI-P3,SMONI,3,pitfall,hymenoptera,2
SMONI-P3,SMONI,3,pitfall,araneae,3
SMONI-P4,SMONI,4,pitfall,hemiptera,3
SMONI-P4,SMONI,4,pitfall,hymenoptera,7
SMONI-P4,SMONI,4,pitfall,acari,3
SMONI-P5,SMONI,5,pitfall,coleoptera,2
SMONI-P5,SMONI,5,pitfall,hemiptera,1
SMONI-P5,SMONI,5,pitfall,hymenoptera,10
SMONI-P5,SMONI,5,pitfall,acari,5
SMONI-P6,SMONI,6,pitfall,coleoptera,3
SMONI-P6,SMONI,6,pitfall,diptera,1
SMONI-P6,SMONI,6,pitfall,hymenoptera,8
SMONI-P6,SMONI,6,pitfall,acari,3
SMONI-P7,SMONI,7,pitfall,coleoptera,5
SMONI-P7,SMONI,7,pitfall,diptera,7
SMONI-P7,SMONI,7,pitfall,hemiptera,2
SMONI-P7,SMONI,7,pitfall,hymenoptera,3
SMONI-P7,SMONI,7,pitfall,collembola,3
SMONI-P7,SMONI,7,pitfall,thysanura,1
SMONI-P7,SMONI,7,pitfall,acari,3
SMONI-P7,SMONI,7,pitfall,chilopoda,2
SMONI-P8,SMONI,8,pitfall,coleoptera,1
SMONI-P8,SMONI,8,pitfall,diptera,6
SMONI-P8,SMONI,8,pitfall,hemiptera,3
SMONI-P8,SMONI,8,pitfall,hymenoptera,5
SMONI-P8,SMONI,8,pitfall,collembola,2
SMONI-P8,SMONI,8,pitfall,neuroptera,1
SMONI-P8,SMONI,8,pitfall,acari,1
SMONI-P8,SMONI,8,pitfall,chilopoda,1
SMONI-P9,SMONI,9,pitfall,coleoptera,1
SMONI-P9,SMONI,9,pitfall,diptera,2
SMONI-P9,SMONI,9,pitfall,hemiptera,4
SMONI-P9,SMONI,9,pitfall,hymenoptera,15
SMONI-P9,SMONI,9,pitfall,collembola,3
SMONI-P9,SMONI,9,pitfall,lepidoptera_larvae,1
SMONI-P9,SMONI,9,pitfall,acari,3
SMONI-P9,SMONI,9,pitfall,chilopoda,2
SMONI-P9,SMONI,9,pitfall,opilliones,1
SMONI-P10,SMONI,10,pitfall,coleoptera,2
SMONI-P10,SMONI,10,pitfall,hemiptera,1
SMONI-P10,SMONI,10,pitfall,hymenoptera,4
SMONI-P10,SMONI,10,pitfall,acari,7
SMONI-P11,SMONI,11,pitfall,coleoptera,6
SMONI-P11,SMONI,11,pitfall,diptera,2
SMONI-P11,SMONI,11,pitfall,hymenoptera,11
SMONI-P11,SMONI,11,pitfall,acari,7
SMONI-P12,SMONI,12,pitfall,coleoptera,2
SMONI-P12,SMONI,12,pitfall,hemiptera,2
SMONI-P12,SMONI,12,pitfall,hymenoptera,5
SMONI-P12,SMONI,12,pitfall,acari,3
VIGLA-P1,VIGLA,1,pitfall,coleoptera,2
VIGLA-P1,VIGLA,1,pitfall,diptera,1
VIGLA-P1,VIGLA,1,pitfall,hemiptera,4
VIGLA-P1,VIGLA,1,pitfall,hymenoptera,15
VIGLA-P2,VIGLA,2,pitfall,coleoptera,4
VIGLA-P2,VIGLA,2,pitfall,hemiptera,24
VIGLA-P2,VIGLA,2,pitfall,hymenoptera,7
VIGLA-P2,VIGLA,2,pitfall,embioptera,1
VIGLA-P2,VIGLA,2,pitfall,coleoptera_larvae,1
VIGLA-P2,VIGLA,2,pitfall,acari,1
VIGLA-P2,VIGLA,2,pitfall,pseudoscorpiones,1
VIGLA-P3,VIGLA,3,pitfall,hemiptera,2
VIGLA-P3,VIGLA,3,pitfall,hymenoptera,12
VIGLA-P3,VIGLA,3,pitfall,coleoptera_larvae,2
VIGLA-P3,VIGLA,3,pitfall,acari,2
VIGLA-P3,VIGLA,3,pitfall,isopoda,1
VIGLA-P3,VIGLA,3,pitfall,pseudoscorpiones,1
VIGLA-P4,VIGLA,4,pitfall,coleoptera,2
VIGLA-P4,VIGLA,4,pitfall,hymenoptera,25
VIGLA-P4,VIGLA,4,pitfall,coleoptera_larvae,1
VIGLA-P5,VIGLA,5,pitfall,coleoptera,1
VIGLA-P5,VIGLA,5,pitfall,hymenoptera,4
VIGLA-P5,VIGLA,5,pitfall,coleoptera_larvae,2
VIGLA-P5,VIGLA,5,pitfall,acari,1
VIGLA-P6,VIGLA,6,pitfall,coleoptera,2
VIGLA-P6,VIGLA,6,pitfall,hemiptera,3
VIGLA-P6,VIGLA,6,pitfall,hymenoptera,13
VIGLA-P6,VIGLA,6,pitfall,orthoptera,1
VIGLA-P6,VIGLA,6,pitfall,lepidoptera_larvae,1
VIGLA-P6,VIGLA,6,pitfall,araneae,1
VIGLA-P7,VIGLA,7,pitfall,coleoptera,7
VIGLA-P7,VIGLA,7,pitfall,hemiptera,1
VIGLA-P7,VIGLA,7,pitfall,hymenoptera,24
VIGLA-P7,VIGLA,7,pitfall,coleoptera_larvae,2
VIGLA-P7,VIGLA,7,pitfall,acari,1
VIGLA-P7,VIGLA,7,pitfall,pseudoscorpiones,1
VIGLA-P8,VIGLA,8,pitfall,coleoptera,5
VIGLA-P8,VIGLA,8,pitfall,hymenoptera,28
VIGLA-P9,VIGLA,9,pitfall,coleoptera,5
VIGLA-P9,VIGLA,9,pitfall,hymenoptera,3
VIGLA-P9,VIGLA,9,pitfall,araneae,1
VIGLA-P10,VIGLA,10,pitfall,diptera,1
VIGLA-P10,VIGLA,10,pitfall,hemiptera,1
VIGLA-P10,VIGLA,10,pitfall,hymenoptera,186
VIGLA-P11,VIGLA,11,pitfall,coleoptera,3
VIGLA-P11,VIGLA,11,pitfall,hymenoptera,12
VIGLA-P11,VIGLA,11,pitfall,araneae,1
VIGLA-P12,VIGLA,12,pitfall,coleoptera,1
VIGLA-P12,VIGLA,12,pitfall,hymenoptera,13
VIGLA-P12,VIGLA,12,pitfall,araneae,2
WMONI-P1,WMONI,1,pitfall,coleoptera,12
WMONI-P1,WMONI,1,pitfall,diptera,2
WMONI-P1,WMONI,1,pitfall,hemiptera,3
WMONI-P1,WMONI,1,pitfall,hymenoptera,20
WMONI-P1,WMONI,1,pitfall,acari,3
WMONI-P1,WMONI,1,pitfall,pseudoscorpiones,1
WMONI-P2,WMONI,2,pitfall,coleoptera,8
WMONI-P2,WMONI,2,pitfall,diptera,9
WMONI-P2,WMONI,2,pitfall,hemiptera,2
WMONI-P2,WMONI,2,pitfall,hymenoptera,16
WMONI-P2,WMONI,2,pitfall,collembola,29
WMONI-P2,WMONI,2,pitfall,acari,10
WMONI-P2,WMONI,2,pitfall,araneae,2
WMONI-P2,WMONI,2,pitfall,chilopoda,1
WMONI-P3,WMONI,3,pitfall,coleoptera,2
WMONI-P3,WMONI,3,pitfall,diptera,4
WMONI-P3,WMONI,3,pitfall,hymenoptera,15
WMONI-P3,WMONI,3,pitfall,collembola,5
WMONI-P4,WMONI,4,pitfall,coleoptera,3
WMONI-P4,WMONI,4,pitfall,diptera,1
WMONI-P4,WMONI,4,pitfall,hemiptera,2
WMONI-P4,WMONI,4,pitfall,hymenoptera,3
WMONI-P4,WMONI,4,pitfall,collembola,3
WMONI-P4,WMONI,4,pitfall,acari,1
WMONI-P5,WMONI,5,pitfall,coleoptera,1
WMONI-P5,WMONI,5,pitfall,hymenoptera,6
WMONI-P5,WMONI,5,pitfall,collembola,2
WMONI-P5,WMONI,5,pitfall,acari,1
WMONI-P5,WMONI,5,pitfall,araneae,1
WMONI-P6,WMONI,6,pitfall,coleoptera,4
WMONI-P6,WMONI,6,pitfall,hymenoptera,10
WMONI-P6,WMONI,6,pitfall,acari,1
WMONI-P7,WMONI,7,pitfall,coleoptera,5
WMONI-P7,WMONI,7,pitfall,hymenoptera,20
WMONI-P7,WMONI,7,pitfall,collembola,14
WMONI-P7,WMONI,7,pitfall,acari,5
WMONI-P7,WMONI,7,pitfall,araneae,1
WMONI-P8,WMONI,8,pitfall,coleoptera,3
WMONI-P8,WMONI,8,pitfall,diptera,1
WMONI-P8,WMONI,8,pitfall,hemiptera,1
WMONI-P8,WMONI,8,pitfall,hymenoptera,3
WMONI-P8,WMONI,8,pitfall,collembola,30
WMONI-P8,WMONI,8,pitfall,acari,5
WMONI-P9,WMONI,9,pitfall,coleoptera,1
WMONI-P9,WMONI,9,pitfall,hymenoptera,3
WMONI-P9,WMONI,9,pitfall,acari,1
WMONI-P10,WMONI,10,pitfall,coleoptera,2
WMONI-P10,WMONI,10,pitfall,diptera,4
WMONI-P10,WMONI,10,pitfall,hymenoptera,26
WMONI-P10,WMONI,10,pitfall,collembola,16
WMONI-P10,WMONI,10,pitfall,acari,13
WMONI-P10,WMONI,10,pitfall,araneae,2
WMONI-P10,WMONI,10,pitfall,isopoda,1
WMONI-P11,WMONI,11,pitfall,coleoptera,3
WMONI-P11,WMONI,11,pitfall,hymenoptera,11
WMONI-P11,WMONI,11,pitfall,acari,1
WMONI-P11,WMONI,11,pitfall,araneae,1
WMONI-P12,WMONI,12,pitfall,coleoptera,2
WMONI-P12,WMONI,12,pitfall,diptera,1
WMONI-P12,WMONI,12,pitfall,hemiptera,1
WMONI-P12,WMONI,12,pitfall,hymenoptera,7
DEMAR-S1,DEMAR,1,sticky,diptera,13
DEMAR-S1,DEMAR,1,sticky,hymenoptera,1
DEMAR-S2,DEMAR,2,sticky,diptera,10
DEMAR-S2,DEMAR,2,sticky,hemiptera,1
DEMAR-S3,DEMAR,3,sticky,coleoptera,1
DEMAR-S3,DEMAR,3,sticky,diptera,13
DEMAR-S4,DEMAR,4,sticky,coleoptera,1
DEMAR-S4,DEMAR,4,sticky,diptera,3
DEMAR-S4,DEMAR,4,sticky,araneae,1
DEMAR-S5,DEMAR,5,sticky,diptera,7
DEMAR-S6,DEMAR,6,sticky,diptera,8
DEMAR-S6,DEMAR,6,sticky,hemiptera,1
DEMAR-S6,DEMAR,6,sticky,hymenoptera,2
DEMAR-S6,DEMAR,6,sticky,homoptera,1
DEMAR-S7,DEMAR,7,sticky,diptera,9
DEMAR-S7,DEMAR,7,sticky,hemiptera,7
DEMAR-S8,DEMAR,8,sticky,diptera,15
DEMAR-S8,DEMAR,8,sticky,araneae,1
DEMAR-S9,DEMAR,9,sticky,diptera,49
DEMAR-S9,DEMAR,9,sticky,hemiptera,7
DEMAR-S9,DEMAR,9,sticky,hymenoptera,1
DEMAR-S10,DEMAR,10,sticky,coleoptera,1
DEMAR-S10,DEMAR,10,sticky,diptera,10
DEMAR-S11,DEMAR,11,sticky,coleoptera,1
DEMAR-S11,DEMAR,11,sticky,diptera,17
DEMAR-S12,DEMAR,12,sticky,coleoptera,1
DEMAR-S12,DEMAR,12,sticky,diptera,5
DEMAR-S12,DEMAR,12,sticky,hymenoptera,1
EMONI-S1,EMONI,1,sticky,coleoptera,1
EMONI-S1,EMONI,1,sticky,diptera,30
EMONI-S1,EMONI,1,sticky,gastropoda,1
EMONI-S2,EMONI,2,sticky,coleoptera,1
EMONI-S2,EMONI,2,sticky,diptera,5
